INFO     core.jenkins_utils:jenkins_utils.py:210 running cleanup
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "GET /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/url HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "GET /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/cookie HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:241 Starting new HTTP connection (1): localhost:8080
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:8080 "GET /crumbIssuer/api/json HTTP/1.1" 200 154
DEBUG    core.jenkins_utils:jenkins_utils.py:31 update_crumb: 357e5efe14909b0f3e38525f6ce26d3a8d0ab0caf06ad589fff1fb97dcb8bfe6
DEBUG    LoginPage:login_page.py:32 login crumb: 357e5efe14909b0f3e38525f6ce26d3a8d0ab0caf06ad589fff1fb97dcb8bfe6
DEBUG    MainPage:ui_element.py:126 Navigating to NewItemPage with click on (('link text', 'New Item'),)
DEBUG    MainPage:ui_element.py:28 waiting for element_to_be_clickable(('link text', 'New Item'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "GET /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element/f.AF0C14A2C1765536EFBD0B03ACB324BD.d.ACB0EFC6792C465A8139AD44C3CD1D5B.e.44/enabled HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element/f.AF0C14A2C1765536EFBD0B03ACB324BD.d.ACB0EFC6792C465A8139AD44C3CD1D5B.e.44/click HTTP/1.1" 200 0
